,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
279,test,mt,4,ReLU-5,9,0.10276540433296115,10000.0
280,test,ppa,1,Conv2d-1,0,0.07523344181898847,100000.0
281,test,ppa,1,Conv2d-2,2,0.09782984774541303,100000.0
282,test,ppa,1,Conv2d-3,4,0.11947090895688775,100000.0
283,test,ppa,1,Conv2d-4,6,0.11001855437227619,100000.0
284,test,ppa,1,Conv2d-5,8,0.2387170211046976,100000.0
285,test,ppa,1,ReLU-1,1,0.15190667258215035,100000.0
286,test,ppa,1,ReLU-2,3,0.1570816874098438,10000.0
287,test,ppa,1,ReLU-3,5,0.09720436752854625,1000.0
288,test,ppa,1,ReLU-4,7,0.216077354094675,1000.0
289,test,ppa,1,ReLU-5,9,0.05431275300482844,10000.0
290,test,ppa,2,Conv2d-1,0,-0.015721767610248686,100000.0
291,test,ppa,2,Conv2d-2,2,0.018306791835873904,100000.0
292,test,ppa,2,Conv2d-3,4,0.05030709224601719,100000.0
293,test,ppa,2,Conv2d-4,6,0.0610825056987526,100000.0
294,test,ppa,2,Conv2d-5,8,0.1737761415933142,100000.0
295,test,ppa,2,ReLU-1,1,0.059357767113105295,100000.0
296,test,ppa,2,ReLU-2,3,0.13492278283469591,10000.0
297,test,ppa,2,ReLU-3,5,0.026558446525540493,1000.0
298,test,ppa,2,ReLU-4,7,0.1542725845273351,1000.0
299,test,ppa,2,ReLU-5,9,0.03961210172423536,10000.0
300,test,ppa,3,Conv2d-1,0,0.01748261610200897,100000.0
301,test,ppa,3,Conv2d-2,2,0.05413965303892802,100000.0
302,test,ppa,3,Conv2d-3,4,0.12939420954391392,100000.0
303,test,ppa,3,Conv2d-4,6,0.14873098840626728,100000.0
304,test,ppa,3,Conv2d-5,8,0.21497293211046853,100000.0
305,test,ppa,3,ReLU-1,1,0.05239653582599577,100000.0
306,test,ppa,3,ReLU-2,3,0.06895857690556564,10000.0
307,test,ppa,3,ReLU-3,5,0.06127414612905221,1000.0
308,test,ppa,3,ReLU-4,7,0.19770130103131967,1000.0
309,test,ppa,3,ReLU-5,9,0.09045882971283901,10000.0
310,test,ppa,4,Conv2d-1,0,0.1430149925649754,100000.0
311,test,ppa,4,Conv2d-2,2,0.15514542265848563,100000.0
312,test,ppa,4,Conv2d-3,4,0.18372499221474975,100000.0
313,test,ppa,4,Conv2d-4,6,0.14958173577132516,100000.0
314,test,ppa,4,Conv2d-5,8,0.24452655374060575,100000.0
315,test,ppa,4,ReLU-1,1,0.18184094016237068,100000.0
316,test,ppa,4,ReLU-2,3,0.2281481724986399,10000.0
317,test,ppa,4,ReLU-3,5,0.16635374027697158,1000.0
318,test,ppa,4,ReLU-4,7,0.2932195078963236,1000.0
319,test,ppa,4,ReLU-5,9,0.14164521840234656,10000.0
320,test,psts,1,Conv2d-1,0,-0.026597444212660543,100000.0
321,test,psts,1,Conv2d-2,2,0.0017986425153432336,100000.0
322,test,psts,1,Conv2d-3,4,-0.030337297626165625,100000.0
323,test,psts,1,Conv2d-4,6,-0.04297222457883472,100000.0
324,test,psts,1,Conv2d-5,8,-0.03710018741496439,100000.0
325,test,psts,1,ReLU-1,1,0.007985710794295293,100000.0
326,test,psts,1,ReLU-2,3,-0.0849136984623072,10000.0
327,test,psts,1,ReLU-3,5,-0.0254786086104678,1000.0
328,test,psts,1,ReLU-4,7,-0.07858362686329201,1000.0
329,test,psts,1,ReLU-5,9,-0.016913465315714492,10000.0
330,test,psts,2,Conv2d-1,0,0.024885505931267017,100000.0
331,test,psts,2,Conv2d-2,2,0.022991672848296542,100000.0
332,test,psts,2,Conv2d-3,4,0.010980794865515255,100000.0
333,test,psts,2,Conv2d-4,6,0.08908314849554069,100000.0
334,test,psts,2,Conv2d-5,8,0.04720247985033101,100000.0
335,test,psts,2,ReLU-1,1,0.062155667832863234,100000.0
336,test,psts,2,ReLU-2,3,0.017451174185159613,10000.0
337,test,psts,2,ReLU-3,5,0.05113894007057869,1000.0
338,test,psts,2,ReLU-4,7,0.029261369088883597,1000.0
339,test,psts,2,ReLU-5,9,0.05058896192491087,10000.0
340,test,psts,3,Conv2d-1,0,0.06614123550246062,100000.0
341,test,psts,3,Conv2d-2,2,0.07974825731140255,100000.0
342,test,psts,3,Conv2d-3,4,0.058835346793545275,100000.0
343,test,psts,3,Conv2d-4,6,0.08346263149423575,100000.0
344,test,psts,3,Conv2d-5,8,0.04596754129090639,100000.0
345,test,psts,3,ReLU-1,1,0.1064844262754187,100000.0
346,test,psts,3,ReLU-2,3,0.018530804746429687,10000.0
347,test,psts,3,ReLU-3,5,0.003938139280307824,1000.0
348,test,psts,3,ReLU-4,7,0.06506415387573969,1000.0
349,test,psts,3,ReLU-5,9,0.07743030478353843,10000.0
350,test,psts,4,Conv2d-1,0,-0.005173194160158307,100000.0
351,test,psts,4,Conv2d-2,2,-0.02727447460782,100000.0
352,test,psts,4,Conv2d-3,4,-0.002413340334474325,100000.0
353,test,psts,4,Conv2d-4,6,0.01904606377368496,100000.0
354,test,psts,4,Conv2d-5,8,0.03538243816968799,100000.0
