,ROI,Subject,Layer,R2,p-value
211,eba,4,1,0.004110710467560745,0.562
212,eba,1,2,0.01841999864191896,0.0094
213,eba,2,2,0.02803732443825253,0.0001
214,eba,3,2,0.017309194024395923,0.0146
215,eba,4,2,0.008949143393835573,0.2068
216,eba,1,3,0.014213881994424481,0.045
217,eba,2,3,0.03751768171190175,0.0
218,eba,3,3,0.04249561902690557,0.0
219,eba,4,3,0.00037683212529675633,0.9576
220,eba,1,4,0.012202861398892591,0.0852
221,eba,2,4,0.040456822568473105,0.0
222,eba,3,4,0.039393093456003496,0.0
223,eba,4,4,0.008028308479436547,0.2574
224,eba,1,5,0.0103798016947499,0.1431
225,eba,2,5,0.032063875552266384,0.0
226,eba,3,5,0.03731200955973947,0.0
227,eba,4,5,0.009665385203581917,0.1728
228,eba,1,6,0.0062599644425112635,0.3772
229,eba,2,6,0.026007586531682468,0.0002
230,eba,3,6,0.03380796771903691,0.0
231,eba,4,6,0.00807379949353028,0.2547
232,eba,1,7,0.007081099322620494,0.3179
233,eba,2,7,0.02864542742551208,0.0001
234,eba,3,7,0.025054134244715778,0.0004
235,eba,4,7,0.01602321922251139,0.0238
236,eba,1,8,0.015454605278536595,0.0292
237,eba,2,8,0.03655314389966734,0.0
238,eba,3,8,0.04645288335355688,0.0
239,eba,4,8,0.018379796473010655,0.0095
240,eba,1,9,0.019319947975167198,0.0064
241,eba,2,9,0.04545026527724297,0.0
242,eba,3,9,0.05441921052164171,0.0
243,eba,4,9,0.021647176706061966,0.0023
244,eba,1,10,0.019076473528960435,0.0071
245,eba,2,10,0.04835465211053531,0.0
246,eba,3,10,0.048741359945902195,0.0
247,eba,4,10,0.022215327386440106,0.0017
248,eba,1,11,0.039642447565868794,0.0
249,eba,2,11,0.07709353243727161,0.0
250,eba,3,11,0.09016818641898773,0.0
251,eba,4,11,0.028739868928838456,0.0001
252,eba,1,12,0.041650348115451596,0.0
253,eba,2,12,0.08043565758496336,0.0
254,eba,3,12,0.10969109187880621,0.0
255,eba,4,12,0.035384445616236875,0.0
256,eba,1,13,0.043914683457345706,0.0
257,eba,2,13,0.07179106907522122,0.0
258,eba,3,13,0.09158603717430078,0.0
259,eba,4,13,0.0350948306494564,0.0
260,loc,1,1,0.030529907112526324,0.0
261,loc,2,1,0.022399009724382527,0.0016
262,loc,3,1,0.021186801489079886,0.0028
263,loc,4,1,0.027251465032495373,0.0001
264,loc,1,2,0.027921473265066055,0.0001
265,loc,2,2,0.019022180392742095,0.0073
266,loc,3,2,0.012169489547934533,0.086
267,loc,4,2,0.025357918292092805,0.0003
268,loc,1,3,0.046384705471746564,0.0
269,loc,2,3,0.030538819407259395,0.0
270,loc,3,3,0.03969334019319093,0.0
271,loc,4,3,0.01885068363037954,0.0078
272,loc,1,4,0.03762815605256246,0.0
273,loc,2,4,0.029941215220082626,0.0
274,loc,3,4,0.04125161812283813,0.0
275,loc,4,4,0.026435206770637723,0.0002
276,loc,1,5,0.03460497716303577,0.0
277,loc,2,5,0.03300744363328295,0.0
278,loc,3,5,0.04273011566155003,0.0
279,loc,4,5,0.02734694476033281,0.0001
280,loc,1,6,0.024473110403986663,0.0006
281,loc,2,6,0.022203750741728825,0.0017
282,loc,3,6,0.02913212348357307,0.0
283,loc,4,6,0.023072545222676176,0.0011
284,loc,1,7,0.021234130779949772,0.0027
285,loc,2,7,0.027014837967817142,0.0001
286,loc,3,7,0.02567410866458931,0.0003
287,loc,4,7,0.024746401169983112,0.0005
288,loc,1,8,0.035979964823799594,0.0
289,loc,2,8,0.037324665448558336,0.0
290,loc,3,8,0.03894538500013155,0.0
291,loc,4,8,0.03833760284681364,0.0
292,loc,1,9,0.04172567700610559,0.0
293,loc,2,9,0.04448882610423535,0.0
294,loc,3,9,0.04459873823969555,0.0
295,loc,4,9,0.046133117430866157,0.0
296,loc,1,10,0.039924853084400067,0.0
297,loc,2,10,0.04511903620468983,0.0
298,loc,3,10,0.039029465656939794,0.0
299,loc,4,10,0.04487392637722011,0.0
300,loc,1,11,0.06488660551184802,0.0
301,loc,2,11,0.07297089737108947,0.0
302,loc,3,11,0.06999907801733148,0.0
303,loc,4,11,0.0735110972510636,0.0
304,loc,1,12,0.0635997966632632,0.0
305,loc,2,12,0.0817611116530284,0.0
306,loc,3,12,0.08216703213494589,0.0
307,loc,4,12,0.08531178141038048,0.0
308,loc,1,13,0.06117505046465241,0.0
309,loc,2,13,0.07191333716534311,0.0
310,loc,3,13,0.07167122733238206,0.0
311,loc,4,13,0.07036590007130256,0.0
312,psts,1,1,0.010242984786902684,0.1485
313,psts,2,1,0.003722552308137013,0.5995
314,psts,3,1,0.014299569333061635,0.0437
315,psts,4,1,-0.0013809716975307534,0.8456
316,psts,1,2,0.0033668102019718455,0.6348
317,psts,2,2,-0.004505068554675231,0.5251
318,psts,3,2,0.007735856821199674,0.2752
319,psts,4,2,0.0020841706664647,0.7688
320,psts,1,3,0.0007152737316136321,0.9196
321,psts,2,3,0.016597969156268454,0.0192
322,psts,3,3,0.015920709190755136,0.0247
323,psts,4,3,-0.010274235668026141,0.1473
324,psts,1,4,0.0025554519689467074,0.7185
325,psts,2,4,0.02202277107676682,0.0019
326,psts,3,4,0.02028237981068166,0.0042
327,psts,4,4,-0.0006613327904410627,0.9257
328,psts,1,5,0.000820325555759555,0.9079
329,psts,2,5,0.018549006677015117,0.0089
330,psts,3,5,0.016893515854403646,0.0172
331,psts,4,5,-0.002941024400904048,0.6782
332,psts,1,6,-0.0004749453308140594,0.9466
333,psts,2,6,0.01674903236287955,0.0181
334,psts,3,6,0.015140505140578686,0.0327
335,psts,4,6,-0.003749770720466481,0.5968
336,psts,1,7,0.002803111809006709,0.6925
337,psts,2,7,0.012120228238393274,0.0873
338,psts,3,7,0.01075440660146078,0.1293
339,psts,4,7,0.0021143215893704025,0.7655
340,psts,1,8,0.010399975145891431,0.1424
341,psts,2,8,0.022292693367616735,0.0017
342,psts,3,8,0.025332000938870527,0.0004
343,psts,4,8,0.008547233055658,0.2279
344,psts,1,9,0.007276955019015277,0.3047
345,psts,2,9,0.027493922212666572,0.0001
346,psts,3,9,0.030810623169611053,0.0
347,psts,4,9,0.01712598355882651,0.0157
348,psts,1,10,0.010801245333540111,0.1276
349,psts,2,10,0.02723508385045385,0.0001
350,psts,3,10,0.03228472137266211,0.0
351,psts,4,10,0.01793189810345302,0.0114
352,psts,1,11,0.01418765957908886,0.0454
353,psts,2,11,0.0506652108076136,0.0
354,psts,3,11,0.05240189370006737,0.0
355,psts,4,11,0.029675886281593587,0.0
356,psts,1,12,0.016377215086102674,0.0209
357,psts,2,12,0.049499816743570464,0.0
358,psts,3,12,0.06588106313054884,0.0
359,psts,4,12,0.03869394571873076,0.0
360,psts,1,13,0.01264478419332051,0.0745
361,psts,2,13,0.045377331052462055,0.0
362,psts,3,13,0.05710910270749058,0.0
363,psts,4,13,0.026831561527382784,0.0002
364,face,1,1,0.021635297388312356,0.0023
365,face,2,1,-0.006379669441937922,0.3682
366,face,3,1,0.006306240051179066,0.3737
367,face,4,1,-0.00435764297082153,0.5388
368,face,1,2,0.006516521748698538,0.358
369,face,2,2,-0.013090956269979425,0.0648
370,face,3,2,-0.009636194205760874,0.1741
371,face,4,2,-0.0054971148399451586,0.4381
372,face,1,3,0.010205288684018023,0.15
373,face,2,3,0.012375273072255518,0.0809
374,face,3,3,0.01950760792258116,0.0059
375,face,4,3,-0.0015735653912430513,0.8243
376,face,1,4,0.016782568905135298,0.0179
377,face,2,4,0.015976868536477545,0.0242
378,face,3,4,0.02584059300636376,0.0003
379,face,4,4,0.00426526977616987,0.5474
380,face,1,5,0.01524407500811095,0.0315
381,face,2,5,0.015762769140553336,0.0262
382,face,3,5,0.026463016909745403,0.0002
383,face,4,5,0.003964092020552527,0.576
384,face,1,6,0.01258713769905834,0.0758
385,face,2,6,0.01301368571624209,0.0664
386,face,3,6,0.025890124079360307,0.0003
387,face,4,6,0.002392371294392364,0.7358
388,face,1,7,0.006967281931596976,0.3257
389,face,2,7,0.009014993698310663,0.2035
390,face,3,7,0.019041139009455317,0.0072
391,face,4,7,0.00605539931468596,0.393
392,face,1,8,0.02776658856134746,0.0001
393,face,2,8,0.014300142108367928,0.0437
394,face,3,8,0.036428546701296007,0.0
395,face,4,8,0.01994584678031113,0.0049
396,face,1,9,0.030058187074905377,0.0
397,face,2,9,0.021733170941403975,0.0022
398,face,3,9,0.04409843717729775,0.0
399,face,4,9,0.016907822331742393,0.0171
400,face,1,10,0.0324556410369057,0.0
401,face,2,10,0.01823578815235113,0.0101
402,face,3,10,0.042903461919429904,0.0
403,face,4,10,0.019671659571701933,0.0055
404,face,1,11,0.05463073850023468,0.0
405,face,2,11,0.0352980863685555,0.0
406,face,3,11,0.06767265802945362,0.0
407,face,4,11,0.018589529778268325,0.0087
408,face,1,12,0.0643646927834473,0.0
409,face,2,12,0.034602690273393466,0.0
410,face,3,12,0.077220198172619,0.0
411,face,4,12,0.02047880830543349,0.0039
412,face,1,13,0.05045930377691391,0.0
413,face,2,13,0.03408459833655662,0.0
414,face,3,13,0.06585290755183804,0.0
415,face,4,13,0.021834386392251843,0.0021
416,asts,1,1,0.01257934625288545,0.076
417,asts,2,1,-0.005447511635575942,0.4422
418,asts,3,1,0.008956702264122126,0.2064
419,asts,4,1,-0.011217540087536943,0.1136
420,asts,1,2,-6.501127648821906e-05,0.9927
421,asts,2,2,-0.01572998504692614,0.0265
422,asts,3,2,0.007987143676533949,0.2599
423,asts,4,2,-0.013975273991581199,0.0487
424,asts,1,3,0.006380293694032647,0.3681
425,asts,2,3,0.008934753083805815,0.2075
426,asts,3,3,0.010374609578203901,0.1433
427,asts,4,3,-0.014466950521075014,0.0413
428,asts,1,4,-0.0025522917918595267,0.7188
429,asts,2,4,0.01470605520225411,0.038
430,asts,3,4,0.014698949800990804,0.0381
431,asts,4,4,-0.00833318354593437,0.2398
432,asts,1,5,-0.0005118194563975899,0.9424
433,asts,2,5,0.009178280832755329,0.1954
434,asts,3,5,0.01287872514457153,0.0693
435,asts,4,5,-0.009002152750866126,0.2041
436,asts,1,6,-0.001224678714186349,0.8628
437,asts,2,6,0.010619716269933325,0.1341
438,asts,3,6,0.012023407964059665,0.0899
439,asts,4,6,-0.008135887459998816,0.2511
440,asts,1,7,-0.00023459068486512234,0.9736
441,asts,2,7,0.01131937699215189,0.1103
442,asts,3,7,0.016082937674135964,0.0233
443,asts,4,7,4.988132719792451e-05,0.9944
444,asts,1,8,0.01107729391211262,0.1181
445,asts,2,8,0.01375368337886802,0.0524
446,asts,3,8,0.025827039953663287,0.0003
447,asts,4,8,0.009031327491098855,0.2027
448,asts,1,9,0.011089584013580074,0.1177
449,asts,2,9,0.015556763473054885,0.0282
450,asts,3,9,0.027140370518539382,0.0001
451,asts,4,9,0.0075625852561726605,0.2861
452,asts,1,10,0.017126183450995716,0.0157
453,asts,2,10,0.012411181885057994,0.08
454,asts,3,10,0.030313013254535687,0.0
455,asts,4,10,0.004374448467329415,0.5372
456,asts,1,11,0.019845132020295003,0.0051
457,asts,2,11,0.024087207796958502,0.0007
458,asts,3,11,0.043290895269237364,0.0
459,asts,4,11,0.00751643114599156,0.289
460,asts,1,12,0.022432388468015,0.0016
461,asts,2,12,0.02503630141387725,0.0004
462,asts,3,12,0.052978269973895806,0.0
463,asts,4,12,0.008905608424590301,0.209
464,asts,1,13,0.02059367061418896,0.0037
465,asts,2,13,0.022178048448257017,0.0018
466,asts,3,13,0.04897423277566835,0.0
467,asts,4,13,0.010456121110533768,0.1402
