video_name,indoor,expanse,transitivity,agent distance,facingness,joint action,communication,cooperation,dominance,intimacy,valence,arousal
yt-2dK-i-Ie1Yg_68.mp4,1,0.2,0.95,0.1136363636363636,0.7727272727272727,0.7777777777777778,0.7708333333333334,0.975,0.475,0.0909090909090909,0.5,0.2272727272727273
yt-2r4fsa-FerM_512.mp4,0,0.55,1.0,0.35,0.1136363636363636,0.25,0.0999999999999999,0.2727272727272727,0.0227272727272727,0.45,0.6111111111111112,0.45
yt-3cMBMW1l4L8_137.mp4,1,0.25,0.9,0.275,0.1818181818181818,0.5,0.55,0.8,0.125,0.775,0.6,0.175
yt-3feY7fLgX4M_737.mp4,1,0.15,0.75,0.15,0.075,0.4090909090909091,0.925,0.75,0.1,0.7,0.7,0.1388888888888889
yt-4ECKZXJX9FY_7.mp4,1,0.35,0.975,0.5,0.45,0.725,0.35,0.725,0.325,0.3,0.5,0.6
yt-4GeYyT0lwQ0_20.mp4,1,0.125,0.95,0.15,0.9545454545454546,0.8636363636363636,0.875,0.6818181818181818,0.0909090909090909,0.7,0.9166666666666666,0.425
yt-4JNdEFzM86k_274.mp4,0,0.4,0.075,0.5454545454545454,0.925,0.7,0.9772727272727272,0.475,0.125,0.45,0.5,0.45
yt-4vsQkKl13Qc_682.mp4,1,0.325,0.8,0.225,0.375,0.775,0.9090909090909092,0.7,0.1666666666666666,0.575,0.425,0.275
yt-5K_c4LG7CEE_35.mp4,1,0.025,0.125,0.0,0.775,0.575,0.525,0.85,0.925,0.975,0.575,0.4
yt-6RiK4Sg2tSY_75.mp4,1,0.125,0.109375,0.075,1.0,0.75,0.8863636363636364,0.8,0.7954545454545454,0.925,0.875,0.325
yt-7-zxdVaYzDA_301.mp4,1,0.35,0.125,0.325,1.0,0.8,0.9,0.8,0.25,0.325,0.525,0.2045454545454545
yt-74Pt4L0NrGo_187.mp4,1,0.125,1.0,0.0,0.0,0.4772727272727273,0.7,0.6,0.15,0.725,0.725,0.25
yt-7Gw5igJ3Uc0_45.mp4,1,0.1,0.55,0.05,0.7,0.575,0.675,0.825,0.775,0.95,0.875,0.45
yt-7eF1aYP8gCQ_9.mp4,1,0.125,0.875,0.175,0.9772727272727272,0.45,0.8,0.875,0.15,0.95,0.7,0.325
yt-7we4oftPEXo_245.mp4,1,0.225,0.8,0.15,0.725,0.5,0.725,0.475,0.9,0.475,0.425,0.725
yt-84Tw9n59zw0_24.mp4,1,0.325,0.475,0.25,0.6,0.475,1.0,0.775,0.3,0.475,0.625,0.2
yt-8U-qwDgKU2E_2.mp4,0,0.15,0.925,0.175,0.5227272727272727,0.3863636363636364,0.6,0.25,0.6,0.8,0.1,0.8
yt-8jK--lY7pww_12.mp4,1,0.525,0.8181818181818182,0.575,0.0,0.35,0.5,0.6,0.55,0.4,0.625,0.2954545454545455
yt-9AkGB_rRbIQ_95.mp4,1,0.125,0.25,0.0,0.95,0.575,0.525,0.8,1.0,0.85,0.625,0.35
yt-9LkmwSItZlk_5.mp4,1,0.075,0.2,0.025,0.0454545454545454,0.375,0.675,0.4,0.025,0.75,0.125,0.825
yt-9OU9ycaIiGM_35.mp4,1,0.075,0.1,0.0,0.2272727272727273,0.5,0.8,0.825,0.95,0.9318181818181818,0.575,0.325
yt-9R3WOWjYHMs_3.mp4,1,0.075,1.0,0.05,0.625,0.3,0.925,0.25,0.225,0.7954545454545454,0.45,0.475
yt-A77SpYVvfKE_5.mp4,1,0.425,0.875,0.325,0.9,0.675,0.75,0.25,0.125,0.525,0.4,0.775
yt-ACR1T1nMR0E_57.mp4,1,0.35,0.0454545454545454,0.575,0.925,0.5,1.0,0.6,0.275,0.4090909090909091,0.55,0.125
yt-AXeXiTb9ntA_162.mp4,0,0.3,0.725,0.15,0.075,0.3863636363636364,0.425,0.675,0.225,0.425,0.475,0.4722222222222222
yt-AhM9i0zrIEo_19.mp4,1,0.05,0.975,0.075,0.65,0.5833333333333334,0.525,0.875,0.825,1.0,0.65,0.1666666666666666
yt-BJa2Fs1UyZ0_71.mp4,0,0.175,1.0,0.25,0.05,0.45,0.65,0.675,0.025,0.85,0.625,0.275
yt-BVDyfz_RdZo_168.mp4,1,0.6,0.34375,0.65,0.025,0.3863636363636364,0.3409090909090909,0.55,0.2954545454545455,0.4,0.675,0.775
yt-CQzqhM81T_M_5.mp4,1,0.075,0.125,0.0,0.0,0.725,0.525,0.45,0.05,0.875,0.075,0.7272727272727273
