,score_set,roi_name,subj_id,model_layer,model_layer_index,score
133,test,loc,3,ResidualAttentionBlock-11,5,0.03738364512054147
134,test,loc,3,ResidualAttentionBlock-3,1,0.06557346538904693
135,test,loc,3,ResidualAttentionBlock-5,2,0.05369955723641381
136,test,loc,3,ResidualAttentionBlock-7,3,0.01976236495609473
137,test,loc,3,ResidualAttentionBlock-9,4,0.017063078670412016
138,test,loc,4,ResidualAttentionBlock-1,0,0.05741938330703269
139,test,loc,4,ResidualAttentionBlock-11,5,0.04007035362800247
140,test,loc,4,ResidualAttentionBlock-3,1,0.06431879787391549
141,test,loc,4,ResidualAttentionBlock-5,2,0.06830664137793177
142,test,loc,4,ResidualAttentionBlock-7,3,0.03498948248410362
143,test,loc,4,ResidualAttentionBlock-9,4,0.028805448651043404
144,test,mt,1,ResidualAttentionBlock-1,0,0.05258441354338948
145,test,mt,1,ResidualAttentionBlock-11,5,0.037990382576616286
146,test,mt,1,ResidualAttentionBlock-3,1,0.0640280069240998
147,test,mt,1,ResidualAttentionBlock-5,2,0.07577815520103394
148,test,mt,1,ResidualAttentionBlock-7,3,0.035691021087249544
149,test,mt,1,ResidualAttentionBlock-9,4,0.03178223501353553
150,test,mt,2,ResidualAttentionBlock-1,0,0.045323894857967076
151,test,mt,2,ResidualAttentionBlock-11,5,0.01921165348600305
152,test,mt,2,ResidualAttentionBlock-3,1,0.04666256089279467
153,test,mt,2,ResidualAttentionBlock-5,2,0.051235273612825184
154,test,mt,2,ResidualAttentionBlock-7,3,0.018404541452869936
155,test,mt,2,ResidualAttentionBlock-9,4,0.009318388855896313
156,test,mt,3,ResidualAttentionBlock-1,0,0.06444317475361247
157,test,mt,3,ResidualAttentionBlock-11,5,0.09038536577779739
158,test,mt,3,ResidualAttentionBlock-3,1,0.0972877793887033
159,test,mt,3,ResidualAttentionBlock-5,2,0.11811572542158885
160,test,mt,3,ResidualAttentionBlock-7,3,0.09601919893915772
161,test,mt,3,ResidualAttentionBlock-9,4,0.09413110601633265
162,test,mt,4,ResidualAttentionBlock-1,0,0.051378949568394325
163,test,mt,4,ResidualAttentionBlock-11,5,0.099139155516237
164,test,mt,4,ResidualAttentionBlock-3,1,0.10555463159487821
165,test,mt,4,ResidualAttentionBlock-5,2,0.12036693531206177
166,test,mt,4,ResidualAttentionBlock-7,3,0.10430207807705143
167,test,mt,4,ResidualAttentionBlock-9,4,0.10271257968739392
168,test,ppa,1,ResidualAttentionBlock-1,0,0.05575892440019435
169,test,ppa,1,ResidualAttentionBlock-11,5,0.06281770806531696
170,test,ppa,1,ResidualAttentionBlock-3,1,0.05581330672798607
171,test,ppa,1,ResidualAttentionBlock-5,2,0.07907143932745553
172,test,ppa,1,ResidualAttentionBlock-7,3,0.047763928201470005
173,test,ppa,1,ResidualAttentionBlock-9,4,0.054628097679319
174,test,ppa,2,ResidualAttentionBlock-1,0,0.02557530122881151
175,test,ppa,2,ResidualAttentionBlock-11,5,0.028228276812774816
176,test,ppa,2,ResidualAttentionBlock-3,1,0.003847879687254835
177,test,ppa,2,ResidualAttentionBlock-5,2,0.03824811323844031
178,test,ppa,2,ResidualAttentionBlock-7,3,0.03444292314747395
179,test,ppa,2,ResidualAttentionBlock-9,4,0.023999655084650295
180,test,ppa,3,ResidualAttentionBlock-1,0,0.07752990035511867
181,test,ppa,3,ResidualAttentionBlock-11,5,0.04456531372946423
182,test,ppa,3,ResidualAttentionBlock-3,1,0.05079923385298642
183,test,ppa,3,ResidualAttentionBlock-5,2,0.08262658601952387
184,test,ppa,3,ResidualAttentionBlock-7,3,0.0425701149814766
185,test,ppa,3,ResidualAttentionBlock-9,4,0.029575009416264907
186,test,ppa,4,ResidualAttentionBlock-1,0,0.05452210448431678
187,test,ppa,4,ResidualAttentionBlock-11,5,0.04907937061040534
188,test,ppa,4,ResidualAttentionBlock-3,1,0.05263712692594068
189,test,ppa,4,ResidualAttentionBlock-5,2,0.082726662045037
190,test,ppa,4,ResidualAttentionBlock-7,3,0.03320360487114542
191,test,ppa,4,ResidualAttentionBlock-9,4,0.04057336360867432
192,test,psts,1,ResidualAttentionBlock-1,0,0.018284620151224142
193,test,psts,1,ResidualAttentionBlock-11,5,0.028376676389115597
194,test,psts,1,ResidualAttentionBlock-3,1,0.021026732583260453
195,test,psts,1,ResidualAttentionBlock-5,2,0.03126334476602968
196,test,psts,1,ResidualAttentionBlock-7,3,0.02802509031585674
197,test,psts,1,ResidualAttentionBlock-9,4,0.020695780742066155
198,test,psts,2,ResidualAttentionBlock-1,0,0.03375047270977409
199,test,psts,2,ResidualAttentionBlock-11,5,0.013129996799923938
200,test,psts,2,ResidualAttentionBlock-3,1,0.012962657223808214
201,test,psts,2,ResidualAttentionBlock-5,2,0.019816873719131944
202,test,psts,2,ResidualAttentionBlock-7,3,0.010310136806728681
203,test,psts,2,ResidualAttentionBlock-9,4,0.0009662434331113954
204,test,psts,3,ResidualAttentionBlock-1,0,0.046676226014127624
205,test,psts,3,ResidualAttentionBlock-11,5,0.02533779514885664
206,test,psts,3,ResidualAttentionBlock-3,1,0.026977538905073307
207,test,psts,3,ResidualAttentionBlock-5,2,0.018352697944807726
208,test,psts,3,ResidualAttentionBlock-7,3,0.017572208116965752
209,test,psts,3,ResidualAttentionBlock-9,4,0.011588306105292493
210,test,psts,4,ResidualAttentionBlock-1,0,-0.0011616971504150807
211,test,psts,4,ResidualAttentionBlock-11,5,0.0056765581595175345
212,test,psts,4,ResidualAttentionBlock-3,1,0.003305654550840688
213,test,psts,4,ResidualAttentionBlock-5,2,0.019814602942122877
214,test,psts,4,ResidualAttentionBlock-7,3,0.0011398339677643227
215,test,psts,4,ResidualAttentionBlock-9,4,-0.004242650982964496
216,train,asts,1,ResidualAttentionBlock-1,0,0.012008634120697699
217,train,asts,1,ResidualAttentionBlock-11,5,0.027583836020621526
218,train,asts,1,ResidualAttentionBlock-3,1,0.013397327769369732
219,train,asts,1,ResidualAttentionBlock-5,2,0.011549690524744046
220,train,asts,1,ResidualAttentionBlock-7,3,0.028931621901592142
221,train,asts,1,ResidualAttentionBlock-9,4,0.027241826642572485
222,train,asts,2,ResidualAttentionBlock-1,0,0.013016210369720189
223,train,asts,2,ResidualAttentionBlock-11,5,0.014739965848860951
224,train,asts,2,ResidualAttentionBlock-3,1,0.01239858819033558
225,train,asts,2,ResidualAttentionBlock-5,2,0.014779177386190587
226,train,asts,2,ResidualAttentionBlock-7,3,0.009781485094380987
227,train,asts,2,ResidualAttentionBlock-9,4,0.005812015681713581
228,train,asts,3,ResidualAttentionBlock-1,0,0.02437386172135278
229,train,asts,3,ResidualAttentionBlock-11,5,0.043382773759649905
230,train,asts,3,ResidualAttentionBlock-3,1,0.026361294248070162
231,train,asts,3,ResidualAttentionBlock-5,2,0.03215634944057642
232,train,asts,3,ResidualAttentionBlock-7,3,0.03951202990347662
233,train,asts,3,ResidualAttentionBlock-9,4,0.03326697402833072
234,train,asts,4,ResidualAttentionBlock-1,0,0.004795340106466643
235,train,asts,4,ResidualAttentionBlock-11,5,0.014869411577790028
236,train,asts,4,ResidualAttentionBlock-3,1,0.00816158366663466
237,train,asts,4,ResidualAttentionBlock-5,2,0.009675175441106153
238,train,asts,4,ResidualAttentionBlock-7,3,0.013988684047602151
239,train,asts,4,ResidualAttentionBlock-9,4,0.012989260384088366
240,train,eba,1,ResidualAttentionBlock-1,0,0.01754076191970884
241,train,eba,1,ResidualAttentionBlock-11,5,0.03721620738004581
242,train,eba,1,ResidualAttentionBlock-3,1,0.020790419194374597
243,train,eba,1,ResidualAttentionBlock-5,2,0.03744048638752612
244,train,eba,1,ResidualAttentionBlock-7,3,0.035420021151789396
245,train,eba,1,ResidualAttentionBlock-9,4,0.027531256581583917
246,train,eba,2,ResidualAttentionBlock-1,0,0.03883228323526942
247,train,eba,2,ResidualAttentionBlock-11,5,0.037772808102955656
248,train,eba,2,ResidualAttentionBlock-3,1,0.04570539001906142
249,train,eba,2,ResidualAttentionBlock-5,2,0.056535799398533745
250,train,eba,2,ResidualAttentionBlock-7,3,0.03575073166929057
251,train,eba,2,ResidualAttentionBlock-9,4,0.02400832863291619
252,train,eba,3,ResidualAttentionBlock-1,0,0.04430172123212348
253,train,eba,3,ResidualAttentionBlock-11,5,0.06262959999993573
254,train,eba,3,ResidualAttentionBlock-3,1,0.05707927093399452
255,train,eba,3,ResidualAttentionBlock-5,2,0.07816747771940516
256,train,eba,3,ResidualAttentionBlock-7,3,0.0537176108217029
257,train,eba,3,ResidualAttentionBlock-9,4,0.041593966807713406
258,train,eba,4,ResidualAttentionBlock-1,0,0.018509447908223915
259,train,eba,4,ResidualAttentionBlock-11,5,0.0186403977952835
260,train,eba,4,ResidualAttentionBlock-3,1,0.021969043155913297
261,train,eba,4,ResidualAttentionBlock-5,2,0.029783559475286537
262,train,eba,4,ResidualAttentionBlock-7,3,0.02505266671687955
263,train,eba,4,ResidualAttentionBlock-9,4,0.01566694947380457
264,train,evc,1,ResidualAttentionBlock-1,0,0.036968032374985554
265,train,evc,1,ResidualAttentionBlock-11,5,0.06924798295579189
266,train,evc,1,ResidualAttentionBlock-3,1,0.06276798717167893
267,train,evc,1,ResidualAttentionBlock-5,2,0.07464293645860103
268,train,evc,1,ResidualAttentionBlock-7,3,0.07596589423397433
269,train,evc,1,ResidualAttentionBlock-9,4,0.07483818920340375
270,train,evc,2,ResidualAttentionBlock-1,0,0.04653909365064178
271,train,evc,2,ResidualAttentionBlock-11,5,0.08931809732473264
272,train,evc,2,ResidualAttentionBlock-3,1,0.07786341305060843
273,train,evc,2,ResidualAttentionBlock-5,2,0.09765120702682904
274,train,evc,2,ResidualAttentionBlock-7,3,0.0877293780780976
275,train,evc,2,ResidualAttentionBlock-9,4,0.09452209192026795
276,train,evc,3,ResidualAttentionBlock-1,0,0.05295152202410364
277,train,evc,3,ResidualAttentionBlock-11,5,0.08423683088343528
278,train,evc,3,ResidualAttentionBlock-3,1,0.08176112706193467
279,train,evc,3,ResidualAttentionBlock-5,2,0.09806657924801745
280,train,evc,3,ResidualAttentionBlock-7,3,0.08679293983386474
281,train,evc,3,ResidualAttentionBlock-9,4,0.08691394845946179
282,train,evc,4,ResidualAttentionBlock-1,0,0.06798267006944322
283,train,evc,4,ResidualAttentionBlock-11,5,0.10047701436272358
284,train,evc,4,ResidualAttentionBlock-3,1,0.10322276992579897
285,train,evc,4,ResidualAttentionBlock-5,2,0.11933918850877656
286,train,evc,4,ResidualAttentionBlock-7,3,0.10394134627714809
287,train,evc,4,ResidualAttentionBlock-9,4,0.10050241439482341
288,train,face,1,ResidualAttentionBlock-1,0,0.02593607709657274
289,train,face,1,ResidualAttentionBlock-11,5,0.03955629714537884
290,train,face,1,ResidualAttentionBlock-3,1,0.03764454983125998
291,train,face,1,ResidualAttentionBlock-5,2,0.041767564055684034
292,train,face,1,ResidualAttentionBlock-7,3,0.03747948833955548
293,train,face,1,ResidualAttentionBlock-9,4,0.034156191379446685
294,train,face,2,ResidualAttentionBlock-1,0,0.012899188957352495
295,train,face,2,ResidualAttentionBlock-11,5,0.012001073593896221
296,train,face,2,ResidualAttentionBlock-3,1,0.017281487962788687
297,train,face,2,ResidualAttentionBlock-5,2,0.01960747655307134
298,train,face,2,ResidualAttentionBlock-7,3,0.012201959073959618
299,train,face,2,ResidualAttentionBlock-9,4,0.0045238432728121405
300,train,face,3,ResidualAttentionBlock-1,0,0.03864731068757769
301,train,face,3,ResidualAttentionBlock-11,5,0.04106035587662117
302,train,face,3,ResidualAttentionBlock-3,1,0.043432729718428854
303,train,face,3,ResidualAttentionBlock-5,2,0.05011194717203319
304,train,face,3,ResidualAttentionBlock-7,3,0.03632730176207949
305,train,face,3,ResidualAttentionBlock-9,4,0.028375994508508296
306,train,face,4,ResidualAttentionBlock-1,0,0.015184664129289056
307,train,face,4,ResidualAttentionBlock-11,5,0.022356849832751692
308,train,face,4,ResidualAttentionBlock-3,1,0.013157074133826
309,train,face,4,ResidualAttentionBlock-5,2,0.01501338027734644
310,train,face,4,ResidualAttentionBlock-7,3,0.018508127124112095
311,train,face,4,ResidualAttentionBlock-9,4,0.014873277902167808
312,train,ffa,1,ResidualAttentionBlock-1,0,0.04600509912431793
313,train,ffa,1,ResidualAttentionBlock-11,5,0.04588852784701045
314,train,ffa,1,ResidualAttentionBlock-3,1,0.053982985966638086
315,train,ffa,1,ResidualAttentionBlock-5,2,0.06298625538665582
316,train,ffa,1,ResidualAttentionBlock-7,3,0.049337000706966554
317,train,ffa,1,ResidualAttentionBlock-9,4,0.04036227498776961
318,train,ffa,2,ResidualAttentionBlock-1,0,0.051032913434452466
319,train,ffa,2,ResidualAttentionBlock-11,5,0.04868158077386168
320,train,ffa,2,ResidualAttentionBlock-3,1,0.06390234213861015
321,train,ffa,2,ResidualAttentionBlock-5,2,0.07748538867897539
322,train,ffa,2,ResidualAttentionBlock-7,3,0.042272773164123104
323,train,ffa,2,ResidualAttentionBlock-9,4,0.0347920386138084
324,train,ffa,3,ResidualAttentionBlock-1,0,0.04949901783242299
325,train,ffa,3,ResidualAttentionBlock-11,5,0.04395894581808773
326,train,ffa,3,ResidualAttentionBlock-3,1,0.05667843735982523
327,train,ffa,3,ResidualAttentionBlock-5,2,0.06322156051368732
328,train,ffa,3,ResidualAttentionBlock-7,3,0.03935428168002232
329,train,ffa,3,ResidualAttentionBlock-9,4,0.02972397528610618
330,train,ffa,4,ResidualAttentionBlock-1,0,0.026898768499568942
331,train,ffa,4,ResidualAttentionBlock-11,5,0.027444254404146627
332,train,ffa,4,ResidualAttentionBlock-3,1,0.028821025907889004
333,train,ffa,4,ResidualAttentionBlock-5,2,0.030244863364669992
334,train,ffa,4,ResidualAttentionBlock-7,3,0.02502791677400728
335,train,ffa,4,ResidualAttentionBlock-9,4,0.02007923444075845
336,train,loc,1,ResidualAttentionBlock-1,0,0.03307801311759767
337,train,loc,1,ResidualAttentionBlock-11,5,0.03978206968397496
338,train,loc,1,ResidualAttentionBlock-3,1,0.046989955680051
339,train,loc,1,ResidualAttentionBlock-5,2,0.0564420089271385
