,ROI,Subject,Layer,r,p-value
348,psts,1,10,0.008672502607636504,0.2212
349,psts,2,10,0.04248622549895649,0.0
350,psts,3,10,0.051935473266116056,0.0
351,psts,4,10,0.021990789594192654,0.0019
352,psts,1,11,0.012190294682925637,0.0855
353,psts,2,11,0.04949741078631876,0.0
354,psts,3,11,0.054854845935332845,0.0
355,psts,4,11,0.03390956537239322,0.0
356,psts,1,12,0.019674349662879086,0.0055
357,psts,2,12,0.05199074093350598,0.0
358,psts,3,12,0.06392653349282168,0.0
359,psts,4,12,0.038480351904404866,0.0
360,psts,1,13,0.039454522197965816,0.0
361,psts,2,13,0.0672058129852302,0.0
362,psts,3,13,0.09581323291507238,0.0
363,psts,4,13,0.04790886351870477,0.0
364,face,1,1,0.034390361841753564,0.0
365,face,2,1,0.006756806588745405,0.3405
366,face,3,1,0.04132148188536774,0.0
367,face,4,1,0.012681887634846269,0.0736
368,face,1,2,0.023975835723101448,0.0007
369,face,2,2,-0.0008988806746654316,0.8991
370,face,3,2,0.030243831789694708,0.0
371,face,4,2,0.012321675229051351,0.0822
372,face,1,3,0.04514823018194099,0.0
373,face,2,3,0.02962596896118642,0.0
374,face,3,3,0.06206249428079415,0.0
375,face,4,3,0.02977870369737388,0.0
376,face,1,4,0.04238375911704316,0.0
377,face,2,4,0.03053383274236175,0.0
378,face,3,4,0.06395688472913535,0.0
379,face,4,4,0.025706282752189634,0.0003
380,face,1,5,0.03226098371532293,0.0
381,face,2,5,0.025166949122626625,0.0004
382,face,3,5,0.05099820651231624,0.0
383,face,4,5,0.017590418624000726,0.0131
384,face,1,6,0.026730251955593157,0.0002
385,face,2,6,0.023961122826935657,0.0007
386,face,3,6,0.04506302662357199,0.0
387,face,4,6,0.0140406493470873,0.0476
388,face,1,7,0.022456777448859114,0.0015
389,face,2,7,0.02059322581060211,0.0037
390,face,3,7,0.043477694732230204,0.0
391,face,4,7,0.016039074304774248,0.0237
392,face,1,8,0.036461497031198636,0.0
393,face,2,8,0.026278033697556855,0.0002
394,face,3,8,0.05636665178585292,0.0
395,face,4,8,0.023009746648042256,0.0012
396,face,1,9,0.04507877209188347,0.0
397,face,2,9,0.03230339507324729,0.0
398,face,3,9,0.06819214897700294,0.0
399,face,4,9,0.023634658060176283,0.0009
400,face,1,10,0.050987803880225877,0.0
401,face,2,10,0.03328565631805204,0.0
402,face,3,10,0.07445682418401729,0.0
403,face,4,10,0.024132891733366742,0.0007
404,face,1,11,0.0649211544087101,0.0
405,face,2,11,0.04121750247414293,0.0
406,face,3,11,0.08226085930862624,0.0
407,face,4,11,0.026514605401494674,0.0002
408,face,1,12,0.07042529761499133,0.0
409,face,2,12,0.04122310824701775,0.0
410,face,3,12,0.08569527929899645,0.0
411,face,4,12,0.021202468126910574,0.0028
412,face,1,13,0.08928269129305128,0.0
413,face,2,13,0.0680101450477815,0.0
414,face,3,13,0.11633100856697283,0.0
415,face,4,13,0.04381087226803469,0.0
416,asts,1,1,0.013674809280398883,0.0537
417,asts,2,1,0.011303752712129822,0.1108
418,asts,3,1,0.018099314727983276,0.0107
419,asts,4,1,-0.004247566554150672,0.5491
420,asts,1,2,0.007823393309745961,0.2698
421,asts,2,2,0.006922336003868482,0.3288
422,asts,3,2,0.017366533305932574,0.0143
423,asts,4,2,-0.00476056254901408,0.5019
424,asts,1,3,0.0055946381626070995,0.43
425,asts,2,3,0.024006450939370455,0.0007
426,asts,3,3,0.020199901394427653,0.0044
427,asts,4,3,0.00829033380065246,0.2422
428,asts,1,4,0.0006908087070564952,0.9224
429,asts,2,4,0.02329327482920218,0.001
430,asts,3,4,0.0248875671942578,0.0004
431,asts,4,4,0.005274601396712786,0.4569
432,asts,1,5,-0.0016639047010063544,0.8144
433,asts,2,5,0.019372042468106913,0.0063
434,asts,3,5,0.023395936383682044,0.001
435,asts,4,5,0.003928176793914249,0.5795
436,asts,1,6,-0.0052600435417206,0.4581
437,asts,2,6,0.01701062364973236,0.0164
438,asts,3,6,0.022485444750962213,0.0015
439,asts,4,6,0.002387674396059491,0.7363
440,asts,1,7,-0.005216038692626538,0.4619
441,asts,2,7,0.015131246407665333,0.0328
442,asts,3,7,0.026703322656911225,0.0002
443,asts,4,7,0.0049468690152542375,0.4853
444,asts,1,8,0.0029284072723090382,0.6795
445,asts,2,8,0.016022645339680196,0.0238
446,asts,3,8,0.02891578024434577,0.0
447,asts,4,8,0.00790333470068745,0.2649
448,asts,1,9,0.005970351059608175,0.3997
449,asts,2,9,0.018818727649637764,0.0079
450,asts,3,9,0.033329314934094224,0.0
451,asts,4,9,0.00939545278457689,0.1851
452,asts,1,10,0.013629365431337274,0.0545
453,asts,2,10,0.018311781978549296,0.0098
454,asts,3,10,0.03603976088151312,0.0
455,asts,4,10,0.007316081054502454,0.3021
456,asts,1,11,0.019885683990885902,0.005
457,asts,2,11,0.021365656395915596,0.0026
458,asts,3,11,0.04107171574085081,0.0
459,asts,4,11,0.0122266410094749,0.0846
460,asts,1,12,0.023367538590296368,0.001
461,asts,2,12,0.020620589924069423,0.0036
462,asts,3,12,0.04775321581878616,0.0
463,asts,4,12,0.005123609434959599,0.4698
464,asts,1,13,0.03832650375035729,0.0
465,asts,2,13,0.040666398284480244,0.0
466,asts,3,13,0.06635929058473027,0.0
467,asts,4,13,0.024991164041838494,0.0004
