,score_set,roi_name,subj_id,model_layer,model_layer_index,score
168,test,ffa,1,ReLU-4,7,0.08470722464900628
169,test,ffa,1,ReLU-5,9,0.09885828720448765
170,test,ffa,2,Conv2d-1,0,0.035621699170850306
171,test,ffa,2,Conv2d-2,2,0.06895586107649244
172,test,ffa,2,Conv2d-3,4,0.04588078142544866
173,test,ffa,2,Conv2d-4,6,0.07675165095982686
174,test,ffa,2,Conv2d-5,8,0.059835206829728524
175,test,ffa,2,ReLU-1,1,0.061356693172130085
176,test,ffa,2,ReLU-2,3,0.07497743067650317
177,test,ffa,2,ReLU-3,5,0.09043746721376042
178,test,ffa,2,ReLU-4,7,0.09374895295812326
179,test,ffa,2,ReLU-5,9,0.11360331725624898
180,test,ffa,3,Conv2d-1,0,0.025012199104661452
181,test,ffa,3,Conv2d-2,2,0.05054160939676859
182,test,ffa,3,Conv2d-3,4,0.04328584973398657
183,test,ffa,3,Conv2d-4,6,0.08174611119954554
184,test,ffa,3,Conv2d-5,8,0.054526008804697636
185,test,ffa,3,ReLU-1,1,0.04418423789954644
186,test,ffa,3,ReLU-2,3,0.05645802027439736
187,test,ffa,3,ReLU-3,5,0.09216322739619129
188,test,ffa,3,ReLU-4,7,0.09709837433354403
189,test,ffa,3,ReLU-5,9,0.11186074118616744
190,test,ffa,4,Conv2d-1,0,0.012369969252212648
191,test,ffa,4,Conv2d-2,2,0.01772230698300597
192,test,ffa,4,Conv2d-3,4,0.014997455490684444
193,test,ffa,4,Conv2d-4,6,0.030904713720891923
194,test,ffa,4,Conv2d-5,8,0.0009760800952107976
195,test,ffa,4,ReLU-1,1,0.011762943523778109
196,test,ffa,4,ReLU-2,3,0.02416759143512475
197,test,ffa,4,ReLU-3,5,0.0375571850810962
198,test,ffa,4,ReLU-4,7,0.029318755518108246
199,test,ffa,4,ReLU-5,9,0.036649865529794656
200,test,loc,1,Conv2d-1,0,0.02073252788181643
201,test,loc,1,Conv2d-2,2,0.03546080779225476
202,test,loc,1,Conv2d-3,4,0.03677819224656087
203,test,loc,1,Conv2d-4,6,0.047481815766905
204,test,loc,1,Conv2d-5,8,0.058629773199192284
205,test,loc,1,ReLU-1,1,0.023247491809208713
206,test,loc,1,ReLU-2,3,0.05648510776139191
207,test,loc,1,ReLU-3,5,0.0741758919089914
208,test,loc,1,ReLU-4,7,0.06619147581160997
209,test,loc,1,ReLU-5,9,0.06774024182257923
210,test,loc,2,Conv2d-1,0,0.025655678643076718
211,test,loc,2,Conv2d-2,2,0.021876210538453573
212,test,loc,2,Conv2d-3,4,0.02622460690333912
213,test,loc,2,Conv2d-4,6,0.04060725836928625
214,test,loc,2,Conv2d-5,8,0.04637235660251806
215,test,loc,2,ReLU-1,1,0.0367323771710038
216,test,loc,2,ReLU-2,3,0.045968345419067726
217,test,loc,2,ReLU-3,5,0.04544040240798454
218,test,loc,2,ReLU-4,7,0.06247750622156234
219,test,loc,2,ReLU-5,9,0.0733703931895908
220,test,loc,3,Conv2d-1,0,0.03925175621716872
221,test,loc,3,Conv2d-2,2,0.05451475606784869
222,test,loc,3,Conv2d-3,4,0.03784588732065634
223,test,loc,3,Conv2d-4,6,0.05987808860759014
224,test,loc,3,Conv2d-5,8,0.05695866338727357
225,test,loc,3,ReLU-1,1,0.04693005235557081
226,test,loc,3,ReLU-2,3,0.058491771657440905
227,test,loc,3,ReLU-3,5,0.07481437978391459
228,test,loc,3,ReLU-4,7,0.08065216311107577
229,test,loc,3,ReLU-5,9,0.08991452092357913
230,test,loc,4,Conv2d-1,0,0.057389630565063146
231,test,loc,4,Conv2d-2,2,0.046492019976263045
232,test,loc,4,Conv2d-3,4,0.05061467379643445
233,test,loc,4,Conv2d-4,6,0.08317406580474074
234,test,loc,4,Conv2d-5,8,0.0811611914094331
235,test,loc,4,ReLU-1,1,0.05402759600955194
236,test,loc,4,ReLU-2,3,0.07747264036113952
237,test,loc,4,ReLU-3,5,0.08239374287142281
238,test,loc,4,ReLU-4,7,0.09265628945174771
239,test,loc,4,ReLU-5,9,0.09287393002593061
240,test,mt,1,Conv2d-1,0,0.01739329212977263
241,test,mt,1,Conv2d-2,2,0.045504444388531975
242,test,mt,1,Conv2d-3,4,0.04305404841230837
243,test,mt,1,Conv2d-4,6,0.04503188001497499
244,test,mt,1,Conv2d-5,8,0.08472868323887146
245,test,mt,1,ReLU-1,1,0.03514674264244859
246,test,mt,1,ReLU-2,3,0.051707721665956316
247,test,mt,1,ReLU-3,5,0.05770337204064084
248,test,mt,1,ReLU-4,7,0.06903037189536675
249,test,mt,1,ReLU-5,9,0.08104209446558792
250,test,mt,2,Conv2d-1,0,0.01230864815814824
251,test,mt,2,Conv2d-2,2,0.03446161533416772
252,test,mt,2,Conv2d-3,4,0.04297781301668553
253,test,mt,2,Conv2d-4,6,0.05546582727150086
254,test,mt,2,Conv2d-5,8,0.050961733487904635
255,test,mt,2,ReLU-1,1,0.012086324422472247
256,test,mt,2,ReLU-2,3,0.0471441527428799
257,test,mt,2,ReLU-3,5,0.057359801961946275
258,test,mt,2,ReLU-4,7,0.06839434697902579
259,test,mt,2,ReLU-5,9,0.08002268754045137
260,test,mt,3,Conv2d-1,0,0.009687635404245722
261,test,mt,3,Conv2d-2,2,0.04555090681254597
262,test,mt,3,Conv2d-3,4,0.044532410221176974
263,test,mt,3,Conv2d-4,6,0.04664875922139659
264,test,mt,3,Conv2d-5,8,0.044945848416531306
265,test,mt,3,ReLU-1,1,0.0565322327060923
266,test,mt,3,ReLU-2,3,0.08667225089000931
267,test,mt,3,ReLU-3,5,0.057523975599514846
268,test,mt,3,ReLU-4,7,0.06596760450852915
269,test,mt,3,ReLU-5,9,0.05384815910914738
270,test,mt,4,Conv2d-1,0,-0.00887152623904328
271,test,mt,4,Conv2d-2,2,0.04003857792210502
272,test,mt,4,Conv2d-3,4,0.046430668537739715
273,test,mt,4,Conv2d-4,6,0.03255665089218399
274,test,mt,4,Conv2d-5,8,0.05203533055925976
275,test,mt,4,ReLU-1,1,0.03498204809166859
276,test,mt,4,ReLU-2,3,0.0871518349483961
277,test,mt,4,ReLU-3,5,0.05258330597063896
278,test,mt,4,ReLU-4,7,0.06230850781502575
279,test,mt,4,ReLU-5,9,0.03577122654958089
280,test,ppa,1,Conv2d-1,0,0.016329885739204294
281,test,ppa,1,Conv2d-2,2,0.022332768209931058
282,test,ppa,1,Conv2d-3,4,0.026640300703473063
283,test,ppa,1,Conv2d-4,6,0.03692975270403899
284,test,ppa,1,Conv2d-5,8,0.09799537676881329
285,test,ppa,1,ReLU-1,1,0.052722445429599786
286,test,ppa,1,ReLU-2,3,0.049682132942361845
287,test,ppa,1,ReLU-3,5,0.029915504589789067
288,test,ppa,1,ReLU-4,7,0.05635092962146426
289,test,ppa,1,ReLU-5,9,0.046509700680992874
290,test,ppa,2,Conv2d-1,0,-0.004061110200074925
291,test,ppa,2,Conv2d-2,2,-0.016165004064260968
292,test,ppa,2,Conv2d-3,4,0.005093929376053444
293,test,ppa,2,Conv2d-4,6,0.011735279492064103
294,test,ppa,2,Conv2d-5,8,0.042975405689611335
295,test,ppa,2,ReLU-1,1,-0.0021182961030002203
296,test,ppa,2,ReLU-2,3,0.02002186571135567
297,test,ppa,2,ReLU-3,5,-0.0020854633984504363
298,test,ppa,2,ReLU-4,7,0.028175634233961088
299,test,ppa,2,ReLU-5,9,0.015150523056288844
300,test,ppa,3,Conv2d-1,0,0.04255738548096031
301,test,ppa,3,Conv2d-2,2,0.03411654826216652
302,test,ppa,3,Conv2d-3,4,0.03720536636698564
303,test,ppa,3,Conv2d-4,6,0.050266906067589504
304,test,ppa,3,Conv2d-5,8,0.09443752941990119
305,test,ppa,3,ReLU-1,1,0.0567464898731058
306,test,ppa,3,ReLU-2,3,0.06111597563693967
307,test,ppa,3,ReLU-3,5,0.028331473260146713
308,test,ppa,3,ReLU-4,7,0.05371442602128386
309,test,ppa,3,ReLU-5,9,0.04926779958546941
310,test,ppa,4,Conv2d-1,0,0.023461157259273297
311,test,ppa,4,Conv2d-2,2,0.03679698052404122
312,test,ppa,4,Conv2d-3,4,0.04162392923571033
313,test,ppa,4,Conv2d-4,6,0.04710779502368575
314,test,ppa,4,Conv2d-5,8,0.09332338709402117
315,test,ppa,4,ReLU-1,1,0.04623173532248005
316,test,ppa,4,ReLU-2,3,0.07317682588614986
317,test,ppa,4,ReLU-3,5,0.04042170706040962
318,test,ppa,4,ReLU-4,7,0.06950576841842278
319,test,ppa,4,ReLU-5,9,0.06723572473378112
320,test,psts,1,Conv2d-1,0,0.009686770587166545
321,test,psts,1,Conv2d-2,2,0.016559057207776222
322,test,psts,1,Conv2d-3,4,0.007656776859619072
323,test,psts,1,Conv2d-4,6,-0.008149135935210534
324,test,psts,1,Conv2d-5,8,-0.009916407337441887
325,test,psts,1,ReLU-1,1,0.020123388156077233
326,test,psts,1,ReLU-2,3,0.009423967343293312
327,test,psts,1,ReLU-3,5,-0.0018629929978896688
328,test,psts,1,ReLU-4,7,0.003878962528006985
329,test,psts,1,ReLU-5,9,0.02455010862684117
330,test,psts,2,Conv2d-1,0,0.030861634704047337
331,test,psts,2,Conv2d-2,2,0.026582590600019957
332,test,psts,2,Conv2d-3,4,0.01641564929492753
333,test,psts,2,Conv2d-4,6,0.0305497290682342
334,test,psts,2,Conv2d-5,8,0.04122109642874798
335,test,psts,2,ReLU-1,1,0.033068243297319944
336,test,psts,2,ReLU-2,3,0.030127329142679272
337,test,psts,2,ReLU-3,5,0.03540218229762428
338,test,psts,2,ReLU-4,7,0.04847364463629448
339,test,psts,2,ReLU-5,9,0.07124051056069354
340,test,psts,3,Conv2d-1,0,0.03489520225024393
341,test,psts,3,Conv2d-2,2,0.042633251685666305
342,test,psts,3,Conv2d-3,4,0.03723479037731691
343,test,psts,3,Conv2d-4,6,0.04379127209914242
344,test,psts,3,Conv2d-5,8,0.020138484524389173
345,test,psts,3,ReLU-1,1,0.04526761600149295
346,test,psts,3,ReLU-2,3,0.04687163927215275
