,score_set,roi_name,subj_id,model_layer,model_layer_index,score,alpha
118,test,ffa,4,ResidualAttentionBlock-7,3,0.07577172217574323,10000.0
119,test,ffa,4,ResidualAttentionBlock-9,4,0.10964741635265421,10000.0
120,test,loc,1,ResidualAttentionBlock-1,0,0.07563593577949287,10000.0
121,test,loc,1,ResidualAttentionBlock-11,5,0.06811013571938558,10000.0
122,test,loc,1,ResidualAttentionBlock-3,1,0.060094287819974425,1000.0
123,test,loc,1,ResidualAttentionBlock-5,2,0.11043311025520068,1000.0
124,test,loc,1,ResidualAttentionBlock-7,3,0.05194194548693816,10000.0
125,test,loc,1,ResidualAttentionBlock-9,4,0.045946274882614366,10000.0
126,test,loc,2,ResidualAttentionBlock-1,0,0.09195278351618187,10000.0
127,test,loc,2,ResidualAttentionBlock-11,5,0.06774734242596617,10000.0
128,test,loc,2,ResidualAttentionBlock-3,1,0.09888522802659742,1000.0
129,test,loc,2,ResidualAttentionBlock-5,2,0.13263525062689757,1000.0
130,test,loc,2,ResidualAttentionBlock-7,3,0.058805366468133835,10000.0
131,test,loc,2,ResidualAttentionBlock-9,4,0.007669582221282667,10000.0
132,test,loc,3,ResidualAttentionBlock-1,0,0.06210297973736112,10000.0
133,test,loc,3,ResidualAttentionBlock-11,5,-0.010215371061526295,10000.0
134,test,loc,3,ResidualAttentionBlock-3,1,0.07397687777517462,1000.0
135,test,loc,3,ResidualAttentionBlock-5,2,0.10149728410770917,1000.0
136,test,loc,3,ResidualAttentionBlock-7,3,-0.020184011327586515,10000.0
137,test,loc,3,ResidualAttentionBlock-9,4,-0.03222374689079927,10000.0
138,test,loc,4,ResidualAttentionBlock-1,0,0.1431721819195829,10000.0
139,test,loc,4,ResidualAttentionBlock-11,5,0.15581694047694156,10000.0
140,test,loc,4,ResidualAttentionBlock-3,1,0.09636273867339337,1000.0
141,test,loc,4,ResidualAttentionBlock-5,2,0.1767999416374907,1000.0
142,test,loc,4,ResidualAttentionBlock-7,3,0.1560794099317667,10000.0
143,test,loc,4,ResidualAttentionBlock-9,4,0.11775617392786389,10000.0
144,test,mt,1,ResidualAttentionBlock-1,0,0.08167191899748989,10000.0
145,test,mt,1,ResidualAttentionBlock-11,5,0.1154147145591576,10000.0
146,test,mt,1,ResidualAttentionBlock-3,1,0.0973228474683934,1000.0
147,test,mt,1,ResidualAttentionBlock-5,2,0.13256122026195613,1000.0
148,test,mt,1,ResidualAttentionBlock-7,3,0.06657766974026534,10000.0
149,test,mt,1,ResidualAttentionBlock-9,4,0.08355588001649222,10000.0
150,test,mt,2,ResidualAttentionBlock-1,0,0.013474183882616514,10000.0
151,test,mt,2,ResidualAttentionBlock-11,5,-0.008076744171050707,10000.0
152,test,mt,2,ResidualAttentionBlock-3,1,0.040097324794571176,1000.0
153,test,mt,2,ResidualAttentionBlock-5,2,0.04592533720596061,1000.0
154,test,mt,2,ResidualAttentionBlock-7,3,-0.03363682259630478,10000.0
155,test,mt,2,ResidualAttentionBlock-9,4,-0.02657925270953892,10000.0
156,test,mt,3,ResidualAttentionBlock-1,0,0.23895120446640092,10000.0
157,test,mt,3,ResidualAttentionBlock-11,5,0.35964147516046846,10000.0
158,test,mt,3,ResidualAttentionBlock-3,1,0.27758621461346156,1000.0
159,test,mt,3,ResidualAttentionBlock-5,2,0.32818850281324746,1000.0
160,test,mt,3,ResidualAttentionBlock-7,3,0.3089281565854999,10000.0
161,test,mt,3,ResidualAttentionBlock-9,4,0.3469980972759906,10000.0
162,test,mt,4,ResidualAttentionBlock-1,0,0.4403638604068914,10000.0
163,test,mt,4,ResidualAttentionBlock-11,5,0.45838607179220825,10000.0
164,test,mt,4,ResidualAttentionBlock-3,1,0.5230650482786663,1000.0
165,test,mt,4,ResidualAttentionBlock-5,2,0.542640921247658,1000.0
166,test,mt,4,ResidualAttentionBlock-7,3,0.43130314658131114,10000.0
